country,overall_rank,happiness_score,gdp_per_capita,life_expectancy
Afghanistan,149.4,3.512799982070922,0.35711344353485097,0.2547073557691574
Albania,106.4,4.712600010681152,0.9386325506629942,0.7876959493293763
Algeria,66.2,5.667600043487548,1.012962893333436,0.6650569291496277
Argentina,31.2,6.4593999954223635,1.1110350925216683,0.7608954167060853
Armenia,122.8,4.39319998550415,0.8391333475723265,0.6978508851966858
Australia,10.0,7.276199983978271,1.3948849870223998,0.9145293585319522
Austria,12.0,7.142000008392334,1.398341452667236,0.8836796838417055
Azerbaijan,84.6,5.22920004119873,1.073644353126526,0.6196531551818849
Bahrain,42.4,6.113799978637696,1.390482452201844,0.7252506069412232
Bangladesh,113.8,4.580199960327148,0.5239965950584413,0.5933542067108153
Belarus,68.2,5.597999953460694,1.085019511993408,0.6987668533554078
Belgium,17.6,6.92139995880127,1.3753981521530159,0.8828703738708497
Benin,137.8,3.90100001296997,0.37674508154678343,0.2752620422611236
Bhutan,90.4,5.124800031280518,0.8235072777023316,0.5397078584976196
Bolivia,58.2,5.813199990844725,0.7672613132095336,0.539306049900055
Bosnia and Herzegovina,88.8,5.161800032043458,0.9216938835258484,0.7613312614860535
Botswana,140.2,3.830000006484986,1.0535808308715822,0.3384071018753052
Brazil,23.0,6.6578000457763675,1.033226642089844,0.6809444705810546
Bulgaria,113.0,4.6186000450134275,1.0865358176651,0.7359535360908509
Burkina Faso,133.4,4.07380001296997,0.31465954271698,0.2668128517332078
Burundi,153.8,3.078999994277954,0.062446513733387,0.21160815833663937
Cambodia,128.6,4.205400044250488,0.5482370192375183,0.5119726807746888
Cameroon,109.8,4.695800034332276,0.5191550730171204,0.20137842338085182
Canada,6.8,7.350599996948242,1.388128883255004,0.90055753049469
Chad,138.6,4.003400021743774,0.3820165974750518,0.09489494301605225
Chile,24.4,6.5893999900817875,1.1733269219589242,0.8449759407806395
China,85.0,5.218999952697754,1.003417158111572,0.7971211001281737
Colombia,36.0,6.339999974822997,0.9929104649887079,0.6716775847167968
Congo (Brazzaville),121.4,4.377399977874757,0.7227428504943848,0.346717486787796
Congo (Kinshasa),126.0,4.346400041961671,0.06234246976089478,0.2076934049720764
Costa Rica,12.6,7.126199999237059,1.0356552565231318,0.8322478530845642
Croatia,74.0,5.458600044250488,1.152317246681214,0.769115704257965
Cyprus,62.2,5.732799962615966,1.274927615394592,0.913614940235138
Czech Republic,24.4,6.654600041198731,1.2685624704132081,0.8274068006210328
Denmark,2.2,7.545999967193604,1.396728602554322,0.8652491049156188
Dominican Republic,86.6,5.199400003814698,0.9999227673034661,0.6425627490882875
Ecuador,48.2,5.991999979400633,0.927780079666138,0.7533032444725035
Egypt,123.6,4.37520002670288,0.9246903614997863,0.5710934517440795
El Salvador,41.6,6.124199956512451,0.8296048991661072,0.6594777105560301
Estonia,65.8,5.637800012207032,1.237851868034362,0.7521516632728577
Ethiopia,123.4,4.4232000076293945,0.29335876909446723,0.41254794150924684
Finland,3.6,7.537799972534179,1.356960385032654,0.8738355339088439
France,27.8,6.515199982452392,1.3441166923828118,0.9162411703567503
Gabon,120.4,4.407800030517578,1.1019920478820802,0.42293971769714356
Georgia,125.6,4.338799954986572,0.8538865328445434,0.6828313961715697
Germany,18.0,6.92900004272461,1.395342676742554,0.8707361463508606
Ghana,115.0,4.536399977111816,0.6093749648857116,0.3633535453567504
Greece,89.8,5.152400047302246,1.2054814962234501,0.8741237806167602
Guatemala,33.6,6.343799999237059,0.8066143891944886,0.6157759979515076
Guinea,141.6,3.853599993896484,0.2733739860191346,0.24170182783699037
Haiti,139.0,3.8655999851226803,0.3228620525741578,0.3357462260074616
Honduras,86.2,5.240800046539306,0.6564366235466004,0.6622998959884644
Hungary,80.2,5.329399976348876,1.20407438685608,0.7365786905059815
Iceland,3.2,7.511000037384034,1.3865226040802,0.9177444244232179
India,126.0,4.297800011444092,0.7307142496299743,0.4989255233669282
Indonesia,84.4,5.2520000167846685,0.9209697184677124,0.5612031441059113
Iran,109.2,4.689199982452392,1.0884506213912961,0.6911406377067566
Iraq,116.8,4.528400043487548,1.043188097091674,0.5448620939979554
Ireland,16.4,6.964400047302246,1.4604153278579723,0.878932524848938
Israel,13.0,7.142199964141847,1.303722484680176,0.90268879996109
Italy,46.2,6.022400045013428,1.3118313237838741,0.9287248695335387
Ivory Coast,124.8,4.2731999656677235,0.5466917841262818,0.11145043393683433
Jamaica,65.2,5.661999974060058,0.8558578618927001,0.6894244768333435
Japan,52.4,5.9258000152587895,1.3377450356597902,0.9790991742172241
Jordan,85.4,5.179599993133545,0.9097444788856505,0.6736200116653441
Kazakhstan,57.6,5.838399953460694,1.190505253929138,0.6367163101272585
Kenya,120.8,4.449399994659424,0.49057189242935173,0.41216166993522646
Kosovo,67.2,5.606199961090089,0.8782828764305114,0.609754410041809
Kuwait,43.0,6.148600003814698,1.555662490341186,0.6951431416244505
Kyrgyzstan,87.6,5.173400037384034,0.5423880152168274,0.6151655593147278
Latvia,63.4,5.676199980926514,1.1853497249603282,0.6970913941650391
Lebanon,91.0,5.149599980926514,1.0350615061416621,0.7872522153244018
Liberia,140.8,3.8391999984741227,0.0892603586096764,0.3027156393594742
Libya,68.0,5.597000019073486,1.065826612869262,0.5946018039398193
Lithuania,52.0,5.929799990081788,1.233202469573974,0.708193988040924
Luxembourg,17.2,6.935999983215332,1.637674719558716,0.9034898990364073
Madagascar,145.0,3.745400010681152,0.2659177386341094,0.43410466176033025
Malawi,139.2,3.883000005722046,0.14271440765953064,0.32706991667938246
Malaysia,53.0,5.904000022125244,1.209899083953858,0.6926768855285643
Mali,129.2,4.219000011444092,0.36096809876632696,0.19973313485145558
Malta,27.6,6.533999990081787,1.2856999677124021,0.8790608473510743
Mauritania,125.0,4.354999963378907,0.5686874577484129,0.34229585592842093
Mauritius,62.6,5.7066000373840335,1.11014510938263,0.6982794924049378
Mexico,21.4,6.725200013732911,1.079360763572692,0.7715697995414734
Moldova,60.2,5.758599964141846,0.6714241260528564,0.6179630401802062
Mongolia,95.6,5.02919998474121,0.941191173118592,0.5914306968917845
Montenegro,81.4,5.291999997711182,1.048377807189942,0.725600934703827
Morocco,88.0,5.172200026702879,0.8066969162216185,0.650592133808136
Myanmar,124.6,4.38300001525879,0.474262110080719,0.45255651374053957
Nepal,105.6,4.812399978637696,0.43141003837203984,0.5579201561393738
Netherlands,6.2,7.404599971008301,1.4110129270782479,0.8785692250061036
New Zealand,8.2,7.313000025939942,1.317509209602356,0.8916179411087036
Nicaragua,46.8,6.027400019836426,0.6772778407745362,0.716673192123413
Niger,133.8,4.104599975585939,0.126605066151619,0.28283900140571605
Nigeria,90.4,5.127399976348877,0.7150532512207033,0.11221314604759217
Norway,2.8,7.541000035858154,1.5193806368713378,0.8733333005905152
Pakistan,79.0,5.344000010681151,0.667894706123352,0.45575355662727357
Palestinian Territories,106.6,4.736600019073485,0.6568318455047608,0.6136513947181703
Panama,27.6,6.53800002822876,1.148267687194824,0.7760232269210816
Paraguay,64.0,5.666600006103517,0.8552234634552001,0.6430361386642456
Peru,63.0,5.728400030517578,0.96508705443573,0.7036552226753234
Philippines,76.8,5.387399965667724,0.7914378430824279,0.5379018109321594
Poland,49.0,5.980800009918212,1.2090375725555418,0.7668170695991516
Portugal,82.8,5.304600034332276,1.23203105897522,0.8695327083244324
Qatar,32.0,6.4218,1.743691137207032,0.7687316175575256
Romania,62.8,5.698399961853028,1.14176678226471,0.7362156624641418
Russia,59.2,5.798599964141846,1.197139619430542,0.6263038667526246
Rwanda,152.0,3.4385999912261958,0.322057178647995,0.41754296146202075
Saudi Arabia,33.4,6.37599997253418,1.439512711036682,0.6662136659469604
Senegal,121.0,4.393999969482422,0.433285804485321,0.45066657051467895
Serbia,78.8,5.339199996185302,1.000643515853882,0.7167889342613221
Sierra Leone,116.4,4.5592000221252444,0.317502185743332,0.04951295077949762
Singapore,28.0,6.542800005340576,1.592137533981324,1.0141864789848327
Slovakia,41.4,6.108400009918212,1.246006711509704,0.7724845822219848
Slovenia,55.0,5.887999979400634,1.26053119091034,0.8529416455993653
South Africa,108.2,4.67519999923706,0.9798697411346439,0.28981401407527924
South Korea,54.0,5.885399964141846,1.314553688591004,0.9486088152084349
Spain,34.6,6.351399975585937,1.298807572868348,0.9501081199798584
Sri Lanka,123.0,4.392600011444092,0.937054028877258,0.6912521664390564
Sweden,8.6,7.319199983978272,1.403981453804016,0.8989910316619873
Switzerland,3.6,7.511399991607666,1.472163910644532,0.9283182578964233
Syria,152.6,3.292199978637696,0.6991086268692015,0.56628066847229
Tajikistan,92.8,5.097799977874756,0.4741067270889282,0.5900430249176025
Tanzania,150.8,3.4659999954223637,0.43977717523574816,0.3967318568992614
Thailand,39.4,6.2865999572753894,1.050013754310608,0.7139778058815002
Togo,148.2,3.5441999771118162,0.26587094348144535,0.288529113729477
Tunisia,108.4,4.728399965667724,0.9373271612396239,0.6903824098014831
Turkey,75.2,5.4154,1.1510348748016361,0.7021011215019225
Turkmenistan,69.8,5.582200005340576,1.047483352592468,0.5181292160835266
Uganda,138.0,4.020199970245362,0.31872814306449904,0.2864985213251114
Ukraine,127.4,4.307200038909912,0.835918389881134,0.636816790424347
United Arab Emirates,22.0,6.744199952697754,1.64522667389679,0.7521956472740173
United Kingdom,17.8,6.910000045013428,1.337566787948608,0.8817351877861022
United States,15.8,6.998800006103515,1.4559458568038939,0.8216153255538939
Uruguay,30.6,6.4311999992370605,1.135557939048768,0.7829293647155762
Uzbekistan,45.0,6.0462000389099115,0.7237582175445556,0.5917245255184174
Venezuela,71.8,5.5314,1.052468240196228,0.6837408454055787
Vietnam,90.8,5.154599976348876,0.723415515094757,0.7226997978363038
Yemen,146.4,3.6257999870300304,0.4893126894721984,0.3654401831378936
Zambia,114.0,4.584399987792968,0.5717613558578492,0.3027611789646148
Zimbabwe,134.8,4.006600000000001,0.3440513069934844,0.2744027507781982
